store_id,internal_id,partner_id,store_name_ar,store_name_en,phone_number,email,full_address,status,internal_category_id,category_id,min_order_price,Latitude,longitude,logo_image_url,cover_image_url,store_description,location_code,platform_commission,orders_type,user_name,encrypted_password,trend_id
"e6c6a4b4-c401-4a2a-a610-ce86e86d013e","1","1","بيت","صحة","455.861.5338 x802","hazm.alrsae@hotmail.com","مدغشقر, صيدا, الموصل, طريق مسدود الدنوني : 46","open","1536379683147780","bd064d76-3569-4d41-8d8b-a462746460df","63.74118341410872","33.456814279999996","36.32118391","/images/test/public/logo.jpg","/images/test/public/logo.jpg","سريع أفعل أسقط يهمني رعاية يتدحرج.","9ec2b9cd-983e-414e-886c-ed58fb12c643","0.7926045271417921","take_away","Hans_Davis","$2b$10$zK2TRYJqOouMFCBhCkniQ.yaQ6lURyr6ChVNirgX5maesOkENJEVK","b82cd6ca-2845-481b-b0f8-e90c12a8e8cc"
"daaa03bd-d893-41eb-b301-6db5a6886fc0","2","3","جمال","بيت","1-502-428-2906","samy27@gmail.com","أراض فرنسية جنوبية وأنتارتيكية, البويرة, جربة, طريق مسدود الكافي : 11","open","6651809598221297","af2f7cdd-5deb-4d4d-bba7-29cfe5226d99","70.97453512331238","33.45291469","36.2268114","/images/test/public/logo.jpg","/images/test/public/logo.jpg","آكل شائع الرأفة متزوجة نفع خزان لماذا ضعيف قميص.","9ffbcb05-adac-460c-920e-300b0c9d89c7","0.6190891600985774","take_away","Andreanne86","$2b$10$.KdiZS7rwNOwwoeFRYzXleg2/ig3/qTJA5bWtlpBWYXQbafx4/h2u","79f54aff-6b91-4529-b9d5-464ad3c7ef41"
"ea18a486-c091-47e5-b1ea-294adf097bf3","3","6","إلكترونيات","رضع","298.865.2126","skhr93@yahoo.com","جيبوتي, أريانة, اللاذقية, طريق مسدود أكرم : 49","busy","162687778014835","af2f7cdd-5deb-4d4d-bba7-29cfe5226d99","14.39616216632228","33.4836786","36.340271800000004","/images/test/public/logo.jpg","/images/test/public/logo.jpg","تريد بعنف يأتي تحدث كبير ملعقة الجنون مواطنة المسرح.","fc23932c-b2ca-4414-ab63-570bdae5edd7","0.08635251003493849","take_away_and_delivery","Kiley_Gleason","$2b$10$wQGIohVPRgWvzGfETJRL.uFkfSloQuuPDmdY8LSeZ1TyearKXyrdy","7f16c598-fcc6-4619-9b1a-70b2e5862508"
"35dbeac5-b0a9-4136-8bc9-281fd6d9d5b7","4","2","بقالة","بيت","(889) 209-2479 x1132","khald13@yahoo.com","إيران, معان, السلع, سبيل شقرون : 18","busy","7065728206523728","153cffa5-efd1-478e-ad7e-12baeee69a8e","46.61178484778388","33.51264023","36.280088740000004","/images/test/public/logo.jpg","/images/test/public/logo.jpg","متقلب عفوية قادم منتصف يناسب مدح.","9b05bcee-4a8d-4791-8e85-1e543c2079cf","0.8619407877011589","delivery","Eduardo71","$2b$10$aFjPxFNBrIlKgw1GsQE/fuWoYlzgvLDP2mrxpPq9rLe.o4AO4ZR4G","67f8848f-f6d4-49e6-882e-e4abe8276fda"
"cae932bc-3304-464c-8184-78cbab1f3d1f","5","5","صحة","ألعاب","630-607-8090 x0881","nafe33@gmail.com","بنغلادش, درعا, الإسكندرية, سبيل الع لويني : 38","busy","6367813039353658","af2f7cdd-5deb-4d4d-bba7-29cfe5226d99","53.09896242179648","33.530389369999995","36.20930488","/images/test/public/logo.jpg","/images/test/public/logo.jpg","الطريق غربال آتي أحب.","1930c1a8-0046-4b91-8ab8-ed4e38305e0a","0.06444381152535539","delivery","Vernice_Collier69","$2b$10$cQBjsfLa6YH5/8T.DRI1UuxM/fjoZEN9.B6QxHOkHd7KsJWY4Xh7W","4d64f1ea-9305-4ba3-abe2-1ce3c0192666"
"5b2f58a1-7ca1-4ce5-928e-46d792585d82","6","6","رضع","صحة","1-214-485-0990 x76177","slym_alnkhly@hotmail.com","أستريا, سليانة, قنا, درب، طريق النجار : 94","close","946068939278167","153cffa5-efd1-478e-ad7e-12baeee69a8e","28.172176954100216","33.49250421","36.34292536","/images/test/public/logo.jpg","/images/test/public/logo.jpg","معك إضافي انعش الغزل ضيق فشيأ.","766ad369-fd30-4796-b6ac-39f0e034b8be","0.2916782421067108","take_away_and_delivery","Jeremy72","$2b$10$ElYn2lKV7zZJKGx5KZ6oEuDQV9DXAXZNcF7KCqmoVeBwOLq8JGNnO","87b4e87c-48da-413f-8178-e249d60ed2f3"
"a404fc3d-dc50-41fa-afcc-066e0811a522","7","3","أحذية","مجوهرات","664-928-6274 x324","rshyd_alhjyj@yahoo.com","تايوات, الرملة, صور, درب، طريق المولدي : 30","close","5022447548375967","bd064d76-3569-4d41-8d8b-a462746460df","98.56149522334954","33.51348897","36.25002703","/images/test/public/logo.jpg","/images/test/public/logo.jpg","أنا أطلق إلى مدينة سنشتاق حضري احب لإختيار.","a71008f6-e6e2-4c6c-b85a-95e8c967f64a","0.16662673764695224","take_away_and_delivery","Jesus_Cole","$2b$10$8dLSNMySHxPnxiAT.9hd3.KXW7Aa/67LjNIv6xba8eBzeqzUFBcQC","26a38a9c-cb36-4df3-9a51-cd20864c8d9e"
"3257348f-05e1-422f-8257-36023ebe5a5b","8","3","السيارات","أحذية","(459) 446-5522 x1851","jad_bnemr@gmail.com","ليختنشتاين,  بابل, فاس, طريق مسدود هشام : 53","close","5531565360808238","153cffa5-efd1-478e-ad7e-12baeee69a8e","68.88589333505459","33.54848277","36.226853729999995","/images/test/public/logo.jpg","/images/test/public/logo.jpg","شروط والتكامل أريد يقارن فريق.","1e5a1934-1e65-4936-b2f0-8931eeafc2f7","0.2461062838817012","delivery","Jenifer_Zulauf","$2b$10$jdZbStxkOS1fJmfKSM1BPOW8st9FBPTtmS/zSaD7f8yEq0gCzWMI2","d99c3606-17d7-4c81-a1f5-527e636b8e94"
"f941de96-bc41-427c-b70d-5403e7b4bd0d","9","1","أحذية","حواسيب","1-372-723-4781","nsr53@yahoo.com","نورواي, سخنين, دورا, ساحة فخري : 58","close","7872774288993566","153cffa5-efd1-478e-ad7e-12baeee69a8e","42.02968406635184","33.53518367","36.23125873","/images/test/public/logo.jpg","/images/test/public/logo.jpg","للرفض الموجة شجيرة ليتم مجموعة.","9b35c957-62ba-424b-9dde-fcf85d3faa3a","0.26747806481451564","take_away_and_delivery","Carmine_Becker45","$2b$10$OtTK7NVdZmunuu3T60j/0eD4nArRV/vjD48XMeV5LWbNsrGr30wRS","8f769988-5712-4b6c-966c-43288e320c6b"
"e00d7e9f-f192-4289-bad8-bb5f1cba753e","10","4","رضع","إلكترونيات","(593) 819-9284 x29009","meadh37@gmail.com","تونغوا, حمص, أربيل, طريق مسدود جهاد : 25","busy","891625951494977","bd064d76-3569-4d41-8d8b-a462746460df","19.957749258452374","33.481987669999995","36.20087428","/images/test/public/logo.jpg","/images/test/public/logo.jpg","شجيرة أحاول نعسان لماذا المنشئ مقرر مجمع شرط مدح.","b40aef65-8cb6-413e-8172-6e2eed5f66f2","0.7472261203243956","delivery","Ivah4","$2b$10$8roycElVKLNlt2JwVIRTS.aFPBJdJvm1YG1zNxG3TZr9TSy8CR4AK","8bed8c52-b1b1-4024-870c-3f29e8a4444b"
